topic,category,participant_id,descriptions,difficulty_rating,image,is_data_visualization,languages,minivlat_answers,minivlat_time,reaction_times,self_understanding,timeSpent,topic,trial_number,desc_type,minivlat_score,num_words,caption,alttext,char_count,num_words_caption,num_words_alttext,desc_caption_jaccard,desc_alttext_jaccard,desc_caption_sbert,desc_alttext_sbert,jaccard_alttext_caption,sbert_alttext_caption,CLIPScore,colour_terms,numbers_raw_count,hedge_terms,trend_terms
Nutaarmiut,Nutaarmiut / Population,0ab95ea049d5cc368558cdf1,"a bar graph is shown by year, with variable increases and decreases but a downward trend between 2004-2010",4,prolific/train-0-42178.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.242533333,80822,5,9.12995,Nutaarmiut,0,first,10,19,Nutaarmiut population growth dynamics in the last two decades. Source: Statistics Greenland[2],Nutaarmiut population dynamics,106,17,3,0.5588235294,0.5,0.1400016546,0.07113604248,0,0.7322562337,0.792,0,2,0,3
Ikerasaarsuk,Ikerasaarsuk / Population,0ab95ea049d5cc368558cdf1,"a bar graph is shown with yearly pop trends, beginning with very low trends and rising upwards until 2000s, where data is variable until lowering between 2007-2010",5,prolific/train-0-370954.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.242533333,97193,5,9.12995,Ikerasaarsuk,1,first,10,29,Ikerasaarsuk population growth dynamics in the last two decades. Source: Statistics Greenland[4],Ikerasaarsuk population dynamics,163,17,3,0.4722222222,0.4827586207,0.168386817,0.147617504,0,0.7536988854,0.794,0,2,0,2
Nanortalik,Nanortalik / Population,0ab95ea049d5cc368558cdf1,"a bar graph is shown with variable trends between 1991-2004, where a steady downward trend is seen",4,prolific/train-0-283458.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.242533333,45855,5,9.12995,Nanortalik,2,first,10,18,"Nanortalik population growth dynamics, 1991-2010. Source: Statistics Greenland[12]",Nanortalik population dynamics,99,14,3,0.6111111111,0.4,0.1134967506,0.09507019818,0,0.6886775494,0.798,0,2,0,1
Bishop Auckland,Bishop Auckland / Demography,bb2fadcda24b6c13099ca221,"The visualization shows the average ages of Bishop Auckland residents compared to County Durham residents, as well as the whole of England and Wales.",4,prolific/train-0-245143.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '10.9%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.109716667,94570,4,13.78156667,Bishop Auckland,0,first,10,26,"""Population pyramid"" showing the breakdown of the Bishop Auckland's population vs Age compared with the figures for County Durham and England and Wales. Source:[9]","A bar chart comparing dividing the population into 5-year intervals, and comparing the percentage of the population of Bishop Auckland made up by each interval with the figures for England and Wales and County Durham. The graph shows that the towns population is broadly in line with that nationally, with the exception that Bishop Auckland has a much lower proportion of people aged 20 to 24 years.",149,32,71,0.7073170732,0.7948717949,0.7362522483,0.7393586636,0,0.7968633175,0.825,0,0,0,0
Tetration,Tetration / Inverse operations / Super-root / Other super-roots,bb2fadcda24b6c13099ca221,A graph of the function sqrt3 times x times s.,5,prolific/train-0-28614.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '10.9%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.109716667,68995,4,13.78156667,Tetration,1,first,10,11,"The graph
  
  
  
  y
  =
  
  
  
  x
  
  3
  
  
  
  
  s
  
  
  
  
  {\displaystyle y={\sqrt[{3}]{x}}_{s}}
  
 .",A line graph that starts at the origin and quickly makes an asymptote toward 2 as the value along the x-axis increases,46,27,22,0.4242424242,0.6206896552,0.6611992717,0.4547240436,0,0.4837883711,0.788,0,0,0,0
History of Georgetown University,History of Georgetown University / Early growth / Early student life,bb2fadcda24b6c13099ca221,A graph depicting the lower student enrollment in Medical and Law schools when compared to general Academy and College.,2,prolific/train-0-75149.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '10.9%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.109716667,116846,4,13.78156667,History of Georgetown University,2,first,10,20,Graph of student enrollment 1791—1888,"A line graph of years from 1791 to 1888 with three subjects, the first in blue representing the Academy and College rises up from 69 in 1791 to 333 at its peak in 1857 followed by sudden drop and leveling around 200. The second, in red, represents the Medical School and begins in 1851 quickly peaking at 127 and then falling again while the third, in yellow, represents the law school which begins in 1871 and steadily rises to 168.",119,5,87,0.4516129032,0.5476190476,0.5980316401,0.5376114845,0,0.6151080132,0.8486,0,0,0,1
Federal political financing in Canada,Federal political financing in Canada / Private funding / Cost of fundraising,8d1a862e694aab295edb0f02,Subsidized contributions raised more than Fundraising Expenses across the board. At least double or more of every party. Grand total is almost 3 times more.,4,prolific/train-0-14152.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.981683333,205646,3,17.31065,Federal political financing in Canada,0,first,11,28,Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009 (source: Elections Canada[4]),Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009,156,24,15,0.5238095238,0.5833333333,0.6928289533,0.696059227,0,0.9816362858,0.7324,0,1,1,2
Nanortalik,Nanortalik / Population,8d1a862e694aab295edb0f02,"Overall, the population is right where it was 19 years prior in 1991. It spiked upwards in the mid nineties and early two thousands.",3,prolific/train-0-283458.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.981683333,118746,3,17.31065,Nanortalik,1,first,11,27,"Nanortalik population growth dynamics, 1991-2010. Source: Statistics Greenland[12]",Nanortalik population dynamics,133,14,3,0.6388888889,0.5357142857,0.2744984925,0.1281722933,0,0.6886775494,0.6895,0,2,0,1
Ernie Toshack with the Australian cricket team in England in 1948,Ernie Toshack with the Australian cricket team in England in 1948 / Role,8d1a862e694aab295edb0f02,"It's been really up & down for Ernie Toshack. He's done better in the ""test"" innings than the other first-class innings.",4,prolific/train-0-24640.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.981683333,112366,3,17.31065,Ernie Toshack with the Australian cricket team in England in 1948,2,first,11,27,"A chart showing Toshack's batting performance during the tour. The runs scored per innings are represented by the bars, with the red bars being Test innings and the pink bars being other first-class innings. The blue line is the average of the five most recent innings and the dots indicate not outs.[10]","Toshack started the season with five first-class innings outside the Tests, and all were less than 10 and four were less than five, none were not out. He then scored two scores between 15 and 20 in the Tests, with a score of four outside the Tests in between. After scores of 1 and zero not out in the next two tour matches, he scored 12 not out in his third and final Test innings. He then finished with two in a tour match. All of his efforts beyond ten were in Tests, and he passed ten in all three Test innings, two of these being not out.",120,60,119,0.6578947368,0.625,0.5276270509,0.5732771158,0,0.585480094,0.7397,0,0,0,2
European debt crisis,European debt crisis / Evolution of the crisis / Portugal,5746ffe9055aec7112c0b221,"The data shows debt in percent of GDP for the country of Portugal vs the Eurozone average from the years 1999-2019, according to data from Oxford economics. Portugals percentage begins at 50% and gradually rises to 131 in 2015, before falling to 124 in 2019. The debt percentage is lower than the Eurozone average until 2006, at which Portugals debt percentage remains higher than the Eurozone average for the remaining years.",4,prolific/train-0-191651.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.613166667,216608,4,23.59841667,European debt crisis,0,first,11,78,Debt of Portugal compared to eurozone average since 1999,Portuguese debt compared to eurozone average,426,9,6,0.5714285714,0.4285714286,0.8461868763,0.7924925685,0,0.9336457253,0.8594,0,8,0,4
Electricity sector in Germany,Electricity sector in Germany / Electricity prices,5746ffe9055aec7112c0b221,"The data is presented as a pie chart representing the components of the German Power Price for the average household consumers in 2020, totaling 31,47 cent per kWh. The grid charges are the highest value, at 25,1%. Power generation or acquisition, and Sales is 22,4% of the price. Renewable surcharge is 21,5%. Value-added tax is 16%. Electricity tax is 6,5%. Concession fee of 1.66 Cent is 5,5%. Other levies make up the remaining 3,2%. Overall, taxes, levies, and surcharges make up 53% of the total price.",5,prolific/train-0-395010.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.613166667,386103,4,23.59841667,Electricity sector in Germany,1,first,11,109,Components of the German Electricity Price for Households Source,Components Electricity Price Germany,508,9,4,0.4791666667,0.3829787234,0.7470686436,0.6749097705,0,0.8207790852,0.917,0,19,0,3
