participant_id,self_understanding,minivlat_score,difficulty_rating,sentence,minivlat_time,predictions,level_1,level_2,level_3,level_4,image
0ab95ea049d5cc368558cdf1,5,10,4,"a bar graph is shown by year, with variable increases and decreases but a downward trend between 2004-2010",4.242533333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-42178.png
0ab95ea049d5cc368558cdf1,5,10,5,"a bar graph is shown with yearly pop trends, beginning with very low trends and rising upwards until 2000s, where data is variable until lowering between 2007-2010",4.242533333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-370954.png
0ab95ea049d5cc368558cdf1,5,10,4,"a bar graph is shown with variable trends between 1991-2004, where a steady downward trend is seen",4.242533333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-283458.png
bb2fadcda24b6c13099ca221,4,10,4,"The visualization shows the average ages of Bishop Auckland residents compared to County Durham residents, as well as the whole of England and Wales.",6.109716667,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-245143.png
bb2fadcda24b6c13099ca221,4,10,5,A graph of the function sqrt3 times x times s.,6.109716667,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-28614.png
bb2fadcda24b6c13099ca221,4,10,2,A graph depicting the lower student enrollment in Medical and Law schools when compared to general Academy and College.,6.109716667,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-75149.png
8d1a862e694aab295edb0f02,3,11,4,Subsidized contributions raised more than Fundraising Expenses across the board.,5.981683333,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-14152.png
8d1a862e694aab295edb0f02,3,11,4,At least double or more of every party.,5.981683333,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-14152.png
8d1a862e694aab295edb0f02,3,11,4,Grand total is almost 3 times more.,5.981683333,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-14152.png
8d1a862e694aab295edb0f02,3,11,3,"Overall, the population is right where it was 19 years prior in 1991.",5.981683333,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-283458.png
8d1a862e694aab295edb0f02,3,11,3,It spiked upwards in the mid nineties and early two thousands.,5.981683333,"[0, 1, 1, 0]",0,1,1,0,prolific/train-0-283458.png
8d1a862e694aab295edb0f02,3,11,4,It's been really up & down for Ernie Toshack.,5.981683333,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-24640.png
8d1a862e694aab295edb0f02,3,11,4,"He's done better in the ""test"" innings than the other first-class innings.",5.981683333,"[0, 1, 1, 0]",0,1,1,0,prolific/train-0-24640.png
5746ffe9055aec7112c0b221,4,11,4,"The data shows debt in percent of GDP for the country of Portugal vs the Eurozone average from the years 1999-2019, according to data from Oxford economics.",6.613166667,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-191651.png
5746ffe9055aec7112c0b221,4,11,4,"Portugals percentage begins at 50% and gradually rises to 131 in 2015, before falling to 124 in 2019.",6.613166667,"[0, 1, 1, 0]",0,1,1,0,prolific/train-0-191651.png
5746ffe9055aec7112c0b221,4,11,4,"The debt percentage is lower than the Eurozone average until 2006, at which Portugals debt percentage remains higher than the Eurozone average for the remaining years.",6.613166667,"[0, 1, 1, 0]",0,1,1,0,prolific/train-0-191651.png
5746ffe9055aec7112c0b221,4,11,5,"The data is presented as a pie chart representing the components of the German Power Price for the average household consumers in 2020, totaling 31,47 cent per kWh.",6.613166667,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-395010.png
5746ffe9055aec7112c0b221,4,11,5,"The grid charges are the highest value, at 25,1%.",6.613166667,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-395010.png
5746ffe9055aec7112c0b221,4,11,5,"Power generation or acquisition, and Sales is 22,4% of the price.",6.613166667,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-395010.png
5746ffe9055aec7112c0b221,4,11,5,"Renewable surcharge is 21,5%.",6.613166667,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-395010.png
5746ffe9055aec7112c0b221,4,11,5,Value-added tax is 16%.,6.613166667,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-395010.png
5746ffe9055aec7112c0b221,4,11,5,"Electricity tax is 6,5%.",6.613166667,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-395010.png
5746ffe9055aec7112c0b221,4,11,5,"Concession fee of 1.66 Cent is 5,5%.",6.613166667,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-395010.png
5746ffe9055aec7112c0b221,4,11,5,"Other levies make up the remaining 3,2%.",6.613166667,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-395010.png
5746ffe9055aec7112c0b221,4,11,5,"Overall, taxes, levies, and surcharges make up 53% of the total price.",6.613166667,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-395010.png
5746ffe9055aec7112c0b221,4,11,4,"The bar graph illustrates the rise and fall of population numbers of Nanortalik from 1991-2010, according to Statistics Greenland.",6.613166667,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-283458.png
5746ffe9055aec7112c0b221,4,11,4,"The populations per year are as follows. 1991:1441, 1992:1483, 1993:1499, 1994:1508, 1995:1564, 1996:1527, 1997:1541, 1998:1506, 1999:1516, 2000:1538, 2001:1506, 2002:1544, 2003:1549, 2004:1529, 2005:1509, 2006:1476, 2007:1450, 2008:1445, 2009:1430, 2010:1448.",6.613166667,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-283458.png
5746ffe9055aec7112c0b221,4,11,4,"The year 1995 saw the highest population, and the year 2009 saw the lowest.",6.613166667,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-283458.png
f7e425612f36aa3600b1e872,3,11,1,Annual bar graph of the population,6.637583333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-42178.png
f7e425612f36aa3600b1e872,3,11,1,3-d bar graph showing fundraising expenses compared to contributions for each party individually and combined,6.637583333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-14152.png
f7e425612f36aa3600b1e872,3,11,5,"From May to Aug, runs scored per inning is shown.",6.637583333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-24640.png
f7e425612f36aa3600b1e872,3,11,5,Highest being in June & July.,6.637583333,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-24640.png
bfedc75d67814bbaee8de85d,3,11,2,% of general population in NMI defined consumer segments. 26% conventionals. 19% drifters. 19% naturalites. 19% unconcerned. 17% lohas.,4.423433333,"[1, 1, 0, 0]",1,1,0,0,prolific/train-0-480642.png
bfedc75d67814bbaee8de85d,3,11,5,Joint range of X {\displaystyle X} and Y {\displaystyle Y} .,4.423433333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-236684.png
bfedc75d67814bbaee8de85d,3,11,5,Darker indicates higher value of the density function.,4.423433333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-236684.png
bfedc75d67814bbaee8de85d,3,11,5,Creating an asymmetrical ‘X’ on an XY axis chart.,4.423433333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-236684.png
bfedc75d67814bbaee8de85d,3,11,3,"The comparison between ‘England and Wales’, ‘County of Durham’, and ‘Bishop Auckland’.",4.423433333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-245143.png
bfedc75d67814bbaee8de85d,3,11,3,The percent of population with Age groups on an XY axis chart.,4.423433333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-245143.png
80c4428b9633a51eb941c6c0,3,9,3,"From 1999 through 2002, total assets and net assets remained steady, with a sharp increase beginning in 2003 leading into 2009 where it has leveled off and peaked at a 900% increase.",5.09225,"[0, 1, 1, 0]",0,1,1,0,prolific/train-0-105181.jpg
80c4428b9633a51eb941c6c0,3,9,5,"Both SSDI, SSI recipients with mental disability has continued to increase at a steady pace with Prozac introduced, with 2003 Total number of SSI and SDI payments to disabled mentally ill recepients peaking at 6,000,000.",5.09225,"[0, 1, 1, 0]",0,1,1,0,prolific/train-0-29695.png
80c4428b9633a51eb941c6c0,3,9,4,"Cloture motions, votes on cloture and cloture invoked remained steady from 1917 with slight increases in 1925/1926, and 1945/1946, 20 years later, before leveling off to lowest numbers in 1955/1956.",5.09225,"[0, 1, 1, 0]",0,1,1,0,prolific/train-0-76637.png
80c4428b9633a51eb941c6c0,3,9,4,"Cloture motions beginning in 1967 throughout 1974 increased sharply, following votes on cloture, and lastly following a similar pattern were cloture invoked.",5.09225,"[0, 1, 1, 0]",0,1,1,0,prolific/train-0-76637.png
80c4428b9633a51eb941c6c0,3,9,4,"Which all 3 continued to increase in similar patterns following one another in the same pattern throughout until sharply peaking in 2007/2008, before tapering off.",5.09225,"[0, 1, 1, 0]",0,1,1,0,prolific/train-0-76637.png
080c2c3082160c8ea3aeca8f,2,7,3,Cigarette sales have increased dramatically in recent years; a 2016 survey found that the number of e-cigarettes sold nearly reached the number of explosions.,11.62805,"[0, 1, 1, 0]",0,1,1,0,prolific/train-0-407025.png
080c2c3082160c8ea3aeca8f,2,7,3,Portugal's debt is nearly one and a half times greater than that of the rest of Europe.,11.62805,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-191651.png
080c2c3082160c8ea3aeca8f,2,7,5,This does not make sense to me; it might have an error of disposition.,11.62805,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-28614.png
f477fa1a67243424248efbbd,2,8,3,"A graph depicting the assets of Great Southern Group with two sets of data depicted Net assets in the color green and total assets in the color red the graph includes data from 1999-2008 and accounts for assets up to $1,800,000.",4.623283333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-105181.jpg
f477fa1a67243424248efbbd,2,8,3,A graph depicting the mean height in KM for a company INFLATESAIL the data is from 2017 and ranges from 480-380 the mean height decreased overtime.,4.623283333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-183840.jpg
f477fa1a67243424248efbbd,2,8,2,The seven main political faction's in Croatian parliamentary elections results from 1992-2016 in line graph form.,4.623283333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-472392.png
5a5cd625f4e3d85303bb797c,3,6,5,I would be looking for a pyramid not a bar graph,6.0953,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-245143.png
5a5cd625f4e3d85303bb797c,3,6,2,The pink bars are very low.,6.0953,"[0, 0, 0, 0]",0,0,0,0,prolific/train-0-24640.png
5a5cd625f4e3d85303bb797c,3,6,2,There were only 3 instances where the test innings were signigantly higher than the first class innings.  Average is between approximately 4 runs to 18.  Average increased great deal towards last two months,6.0953,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-24640.png
5a5cd625f4e3d85303bb797c,3,6,1,"The caption is very adequate description of graph.  Would only add that in 2009-2012 low incident.  2014 to 2016 alarming rate of increased sales correlated to higher (3,000) incidents",6.0953,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-407025.png
0091af143849d9b6fb0d4034,3,9,3,The graph shows total and net assets by year from 1999 to 2008 in AU$000.,4.404683333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-105181.jpg
0091af143849d9b6fb0d4034,3,9,3,"Values are: 1999 total assets (ta) 175,000, net assets (na)100,000. 2000 ta 205,000, na 190,000; 2001 ta 200,000, na 197,000; 2002 ta 200,000, na 198,000; 2003 ta 250,000, na 205,000; 2004 ta 600,000, na 400,000; 2005 ta 1,000,000, na 760,000; 2006 ta 1,600,000, na 760,000; 2007 ta 1,700,000, na 760,000; 2008 ta 1,800,000, na 750,000.",4.404683333,"[0, 1, 0, 0]",0,1,0,0,prolific/train-0-105181.jpg
0091af143849d9b6fb0d4034,3,9,3,The image is of a graph with small circles used to plot the data.,4.404683333,"[1, 0, 0, 0]",1,0,0,0,prolific/train-0-236684.png
