language,page_url,image_url,page_title,section_title,hierarchical_section_title,caption_reference_description,caption_attribution_description,caption_alt_text_description,mime_type,original_height,original_width,is_main_image,attribution_passes_lang_id,page_changed_recently,context_page_description,context_section_description,index,image_path,Index
en,https://en.wikipedia.org/wiki/Federal_political_financing_in_Canada,http://upload.wikimedia.org/wikipedia/commons/1/11/Party-level_fundraising_costs_vs._party-level_contributions_raised_at_top_3_Canadian_federal_parties_in_2009_sm.png,Federal political financing in Canada,Cost of fundraising,Federal political financing in Canada / Private funding / Cost of fundraising,Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009 (source: Elections Canada[4]),English: Party-level fundraising costs vs. party-level contributions raised at top 3 Canadian federal parties in 2009,Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009,image/png,467,673,FALSE,TRUE,TRUE,The financing of federal political entities in Canada is regulated under the Canada Elections Act. A combination of public and private funds finances the activities of these entities during and outside of elections.,"In order to solicit political monetary contributions, fundraising is a major focus for many parties that involves hiring fundraising experts, and employing sophisticated database systems, email lists, newsletters, and telemarketing.
The Conservative Party, for example, is reported to make phone calls or send letters to about 200,000 people a month, and conducts surveys to collect and feed information on the views of individuals into its database referred to as CIMS, an acronym for ""Constituent Information Management System"". The information stored in the database is then used to customize mailings and phone calls for each targeted donor to appeal to them specifically on issues that they are known to react more strongly to.
Other associated overhead for fundraising include legal consultation, processing, accounting, auditing, and reporting costs.
(Sources: Elections Canada, Globe and Mail)
In 2009, the overhead cost of fundraising for the top three parties exceeded the net private funds they raised. They spent a combined $11.2 million on fundraising at the party level (riding-level expenses not included), according to their 2009 annual party returns, to raise approximately $10.3 million in net private funds.",14152,train-0-14152.png,14152
en,https://en.wikipedia.org/wiki/Ernie_Toshack_with_the_Australian_cricket_team_in_England_in_1948,https://upload.wikimedia.org/wikipedia/commons/e/e5/Ernie_Toshack_graph_1948.png,Ernie Toshack with the Australian cricket team in England in 1948,Role,Ernie Toshack with the Australian cricket team in England in 1948 / Role,"A chart showing Toshack's batting performance during the tour. The runs scored per innings are represented by the bars, with the red bars being Test innings and the pink bars being other first-class innings. The blue line is the average of the five most recent innings and the dots indicate not outs.[10]","English: FC batting chart for en:Ernie Toshack during the 1948 tour of England. Blue line is an average for five most recent innings, blue dots are not outs. Bars are runs scored. Pink for FC, red for Tests","Toshack started the season with five first-class innings outside the Tests, and all were less than 10 and four were less than five, none were not out. He then scored two scores between 15 and 20 in the Tests, with a score of four outside the Tests in between. After scores of 1 and zero not out in the next two tour matches, he scored 12 not out in his third and final Test innings. He then finished with two in a tour match. All of his efforts beyond ten were in Tests, and he passed ten in all three Test innings, two of these being not out.",image/png,281,553,FALSE,TRUE,TRUE,"Ernie Toshack was a member of Donald Bradman's famous Australian cricket team, which toured England in 1948 and was undefeated in their 34 matches. This unprecedented feat by a Test side touring England earned Bradman's men the sobriquet The Invincibles.
A left-arm medium-pace seam bowler, Toshack was a member of the first-choice team, and played in the first four Test matches before succumbing to a persistent knee injury. Toshack contained the English batsmen with leg theory in between the new ball bursts of Keith Miller and Ray Lindwall. He took 11 wickets in the Tests; his most notable performance was the 5/40 he took in the second innings of the Second Test at Lord's. However, his knee failed in the first innings of the Fourth Test when he took 1/112. He was unable to bowl in the second innings and missed the Fifth Test, marking the end of his Test career.
For the entire tour, Toshack took 50 first-class wickets at a bowling average of 21.12 with four five-wicket innings hauls, including a best of 7/81 against Yorkshire at Bramall Lane.","A left-arm medium-pace seamer, Toshack was a member of Bradman's first-choice team and he played in the first four Tests before being struck down by a persistent knee injury. Toshack contained the English batsmen using leg theory in between the new ball bursts of Miller and Lindwall, usually bowling second change after Miller, Lindwall and Johnston. The English press decried Toshack's style of bowling as negative, but Jack Fingleton said that ""he is generally so close to the stumps that nearly every ball has to be played"".
During the Tests, Toshack took 11 wickets at 33.09; his most notable performance was his 5/40 in the second innings of the Second Test at Lord's. Of the four frontline pacemen, Toshack had the second best economy rate, although with his leg stump bowling, he also had a strike rate of 94.45, while the other three fast bowlers all had strike rates below 70. It was a similar tale in the first-class statistics, with the second best economy among the seven frontline bowlers, but the worst strike rate. For the entire tour, Toshack took 50 wickets at 21.12 with four five-wicket innings hauls, including a best of 7/81 against Yorkshire at Bramall Lane. He also took 6/51 in the first innings of the match against the Marylebone Cricket Club, which was almost entirely represented by English Test cricketers. Toshack took two catches on tour, none of them in the Tests.
An inept batsman with an average of 5.78 in his first-class career, Toshack managed a Test average of 51.00 on the 1948 tour after being dismissed only once, behind only Arthur Morris, Sid Barnes, Bradman and Neil Harvey. The unbeaten 20 he managed in the Lord's Test was his best first-class score, made in a freewheeling tenth-wicket stand with Johnston.
During the tour, Toshack had few opportunities with the bat, invariably being placed at either No. 10 and No. 11 in the order alongside Johnston, another tailender with little batting ability.ᴺ⁻ Neither player ever passed 30 in their career, and they were the only two players who failed to make a half-century during the tour. As Australia's other specialist bowlers were Lindwall, McCool, Johnson and Doug Ring, all of whom made centuries and more than 18 fifties each during their first-class career, Toshack and Johnston were invariably rooted at the bottom of the order.  As Australia often won by an innings, and declared in the first innings many times due to their batting strength, Toshack only had 12 innings in his 15 first-class fixtures, never batted in the second innings, and scored 78 runs at 8.66. Of the 78 runs, 51 came from four Test innings in Toshack's four Tests.
Due to the fragility of his knee, Toshack was used sparingly in the tour games, playing in only 11 of the 29 non-Test matches on the tour, the least of any player. Toshack was unable to play in the last nine matches of the tour, having injured himself in the second match against Lancashire.",24640,train-0-24640.png,24640
en,https://en.wikipedia.org/wiki/Anatomy_of_an_Epidemic,http://upload.wikimedia.org/wikipedia/commons/4/47/SSDI-SSI-1987-2003.png,Anatomy of an Epidemic,Magic bullets,Anatomy of an Epidemic / Synopsis / Magic bullets,"Number of Americans who received SSDI and SSI for mental disability in 1987 (blue) when Eli Lilly and Company introduced the antidepressive drug Prozac, compared to 2003 (red).","English: Number of Americans who received U.S. w:Social Security Disability Insurance and U.S. w:Supplemental Security Income for mental disabilties, 1987 to 2003",Chart showing increase (in red) over baseline (in blue) between 1987 and 2003,image/png,446,531,FALSE,TRUE,TRUE,"Anatomy of an Epidemic: Magic Bullets, Psychiatric Drugs, and the Astonishing Rise of Mental Illness in America is a book by Robert Whitaker published in 2010 by Crown. Whitaker asks why the number of Americans who receive government disability for mental illness approximately doubled since 1987.
In the book, Whitaker tries to answer that question and examines the long-term outcomes for the mentally ill in the U.S.","Whitaker begins by reviewing the discovery of antipsychotics, benzodiazepines and antidepressants.  These were discovered as side effects during research for antihistamines (specifically promethazine), gram negative antibiotics (specifically mephenesin) and the anti-tuberculosis agents isoniazid and iproniazid respectively. The psychiatric mechanisms of action of these drugs were not known at the time and these were initially called major tranquilizers (now typical antipsychotics) due to their induction of ""euphoric quietude""; minor tranquilizers (now benzodiazepines) and psychic energizers (now antidepressants) due to patients ""dancing in the wards."" These compounds were developed during a period of growth for the pharmaceutical industry bolstered by the 1951 Durham-Humphrey Amendment, giving physicians monopolistic prescribing rights thus aligning the interests of physicians and pharmaceutical companies. This also followed the industry's development of ""magic bullets"" that treat people with, for example, diabetes, which according to Whitaker provided an analogy to sell the idea of these drugs to the public. It was not until many years later, after the mechanisms of these drugs were determined, that the serotonergic hypothesis of depression and dopaminergic hypothesis of schizophrenia were developed to fall in line with the drug's mechanisms. According to Whitaker's analysis of the primary literature, lower levels of serotonin and higher levels of dopamine ""have proved to be true in patients WITH prior exposure to antidepressants or antipsychotics (ie as homeostatic mechanisms) but NOT in patients without prior exposure.""
Whitaker further criticizes the magic bullet theory by attacking the historical notion that the ""invention of the antipsychotic Thorazine"" emptied the asylums. His case begins by showing that during the late 1940s and 1950s ~75% of cases admitted for first episode schizophrenia recovered to the community by approximately 3 years (Thorazine was not released until 1955). He then notes that the arrival of Thorazine did not improve discharge rates in the 1950s for people newly diagnosed with schizophrenia. In fact, based on the only large scale first episode schizophrenia study of this era, 88% of those who were not treated were discharged within eighteen months compared to 74% of neuroleptic treated. This is additionally evidenced by the fact that when Thorazine was introduced in 1955 there were 267 thousand schizophrenia patients in state and county mental hospitals, and eight years later, there were 253 thousand, thus indicating that the advent of neuroleptics barely budged the number of hospitalized patients. What he argues actually cleared the asylums was the beginning of Medicare and Medicaid in 1965. These programs provided federal subsidies for nursing home care but no such subsidy for care in state mental hospitals, and so the states, seeking to save money, began shipping their chronic patients to nursing homes.",29695,train-0-29695.png,29695
en,https://en.wikipedia.org/wiki/Nutaarmiut,https://upload.wikimedia.org/wikipedia/commons/3/31/Nutaarmiut-population-dynamics.png,Nutaarmiut,Population,Nutaarmiut / Population,Nutaarmiut population growth dynamics in the last two decades. Source: Statistics Greenland[2],"Population growth dynamics in Nutaarmiut, Greenland. Numbers from 1991-2010 from Statistics Greenland. (http://bank2.stat.gl/) The graph is own work.",Nutaarmiut population dynamics,image/png,250,1000,FALSE,TRUE,TRUE,"Nutaarmiut is an island settlement in the Qaasuitsup municipality, in northwestern Greenland. It had 43 inhabitants in 2020.","The population of Nutaarmiut has decreased by over a 40 percent relative to the 1990 levels, and has been steadily decreasing in the 2000s.",42178,train-0-42178.png,42178
en,https://en.wikipedia.org/wiki/Bootham_Crescent,https://upload.wikimedia.org/wikipedia/commons/0/08/Bootham_Crescent_league_attendances.png,Bootham Crescent,Records,Bootham Crescent / Records,York City's highest and average league attendances at Bootham Crescent from the 1932–33 season,"English: A graph of York City F.C.'s league attendances at Bootham Crescent, York from 1932 Highest attendances for the 1932–33 to 2007–08 seasons: Batters, David (2008) York City: The Complete Record, Derby: Breedon Books, pp.&#160;258–410 ISBN: 978-1-85983-633-0. Highest attendance for the 2008–09 season: (2009) Non-League Club Directory 2010, Tony Williams Publications, p.&#160;162 ISBN: 9-781869-833664. Highest attendance for the 2009–10 season: (2010) Non-League Club Directory 2011, Tony Williams Publications, p.&#160;160 ISBN: 9-781869-833688. Highest attendance for the 2010–11 season: (2011) Non-League Club Directory 2012, Tony Williams Publications, p.&#160;156 ISBN: 9-781869-833701. Highest attendance for the 2011–12 season: (2012) Non-League Club Directory 2013, Tony Williams Publications, p.&#160;162 ISBN: 9-781869-833770. Highest attendances for the 2012–13 to 2015–16 seasons: Statistics: English League Two: 2012/2013. ESPN FC. Retrieved on 23 August 2016. Individual seasons accessed via dropdown menu. Average attendances for the 1932–33 to 2007–08 seasons: Batters York City: The Complete Record, pp.&#160;235–237 Average attendance for the 2008–09 season: York City FC. European Football Statistics. Retrieved on 23 August 2016. Average attendance for the 2009–10 season: Flett, Dave (20 May 2010). ""Review of York City's 2009/10 season"". The Press. Retrieved on 23 August 2016. Average attendances for the 2010–11 to 2011–12 seasons: York City FC. European Football Statistics. Retrieved on 23 August 2016. Average attendance for the 2012–13 season: Statistics: English League Two: 2012/2013. ESPN FC. Retrieved on 18 August 2015. Average attendance for the 2013–14 season: Football League statistics. The Football League. Archived from the original on 31 May 2014. Average attendances for the 2014–15 to 2015–16 seasons: Statistics: English League Two: 2014/2015. ESPN FC. Retrieved on 23 August 2016. Individual seasons accessed via dropdown menu.",Graph showing the highest and average league attendances at the Bootham Crescent association football ground,image/png,733,1133,FALSE,TRUE,TRUE,"Bootham Crescent in York, North Yorkshire, England, is the home of York City football club and York City Knights rugby league club. With a capacity of 8,256, it is near the city centre, just over a mile from York railway station.
York City leased land at Bootham Crescent from York Cricket Club as a replacement for their ground at Fulfordgate on the outskirts of the city. The ground was constructed in four months, and opened on 31 August 1932. In the Second World War, the Popular Stand was converted into an air-raid shelter, and the ground suffered slight damage when a bomb landed on houses along the Shipton Street End. York purchased Bootham Crescent for £4,075 in 1948. Floodlights were fitted at the ground in 1959, and replaced by ones twice as powerful in 1995. A number of improvements were made in the early 1980s, with a gymnasium, offices and a lounge for officials built.
The David Longhurst Stand opened in 1991 after a roof was erected on the Shipton Street End, named after the former York player David Longhurst who died during a match at the ground in 1990.","The highest attendance record at the ground was 28,123 for a match against Huddersfield Town in the FA Cup sixth round on 5 March 1938. The highest attendance in the Football League is 21,010 against Hull City in the Third Division North on 23 April 1949. The attendance of 1,167 against Northampton Town on 5 May 1981 is the lowest ever to see York in a Football League match. York were relegated to the Conference National in 2004, and their highest home attendance in this division was 6,660 for a match against Morecambe on 4 May 2007. The lowest was 1,567 for a match against Exeter City on 10 March 2008. The lowest attendance at the ground for any first-team fixture was 608 for a Conference League Cup third-round match against Mansfield Town on 4 November 2008.
The highest seasonal average attendance for York at Bootham Crescent was 10,412 in 1948–49. York's lowest seasonal average was 2,139 in 1977–78, which came after two successive relegations from the Second Division. The most recent season in which the average attendance was more than 10,000 was in 1955–56. This season also saw York's highest total seasonal attendance at the ground, which was 236,685. The lowest total seasonal attendance was 48,357 for 1977–78 in the Fourth Division.
York's biggest margin of victory at Bootham Crescent was by eight goals, achieved with a 9–1 win over Southport in the Third Division North on 2 February 1957. Their biggest margin of defeat at the ground was by seven goals, when they were beaten 7–0 by Rochdale in a Third Division North match on 14 January 1939. The most goals scored in a match was 12 on 16 November 1935, when York defeated Mansfield Town 7–5 in the Third Division North.",62319,train-0-62319.png,62319
en,https://en.wikipedia.org/wiki/History_of_Georgetown_University,https://upload.wikimedia.org/wikipedia/commons/4/47/Georgetown_University_enrollment_1791-1888.png,History of Georgetown University,Early student life,History of Georgetown University / Early growth / Early student life,Graph of student enrollment 1791—1888,"English: Graph of the first century of Georgetown University student enrollment, between the Academy and College, the Medical Department, and the Law Department. The Medical Department was later renamed the School of Medicine and the Law Department is currently Georgetown University Law Center. Made with Microsoft Excel. Data from Curran, Robert Emmett (1993). The Bicentennial History of Georgetown University. Georgetown University Press. ISBN 0-8784-0485-6. &#160;&#160; Academy &amp; College &#160;&#160; Medical School &#160;&#160; Law School","A line graph of years from 1791 to 1888 with three subjects, the first in blue representing the Academy and College rises up from 69 in 1791 to 333 at its peak in 1857 followed by sudden drop and leveling around 200. The second, in red, represents the Medical School and begins in 1851 quickly peaking at 127 and then falling again while the third, in yellow, represents the law school which begins in 1871 and steadily rises to 168.",image/png,907,1403,FALSE,TRUE,FALSE,"The history of Georgetown University spans nearly four hundred years, from the early European settlement of America to the present day. Georgetown University has grown with both its city, Washington, D.C., and the United States, each of which date their founding to the period from 1788 to 1790. Georgetown's origins are in the establishment of the Maryland colony in the seventeenth-century. Bishop John Carroll established the school at its present location by the Potomac River after the American Revolution allowed for free religious practice.
The role of the Society of Jesus in the school's operation has evolved from that of founders and financiers to faculty and advisers. Their focus on liberal studies and religious pluralism have helped to give the school its identity. Georgetown was also affected by its times, including the American Civil War, which disrupted the growing school and significantly changed its student body. University presidents like Patrick Francis Healy modernized the institution into an active research university with several graduate and undergraduate schools, and oversaw the expansion of educational opportunities on campus, around the city, and abroad.","From its beginning, Georgetown was not intended to be exclusively Catholic, and over its first ten years, nearly one-fifth of students were Protestant. A fifth of students were also from the Caribbean. By 1830, Jewish students were known to be attending. European immigrants and Napoleonic War refugees also made up significant parts of the early student body. School rules were harshly enforced. Leonard Neale, a strict moralist, regulated students' movements such that founder John Carrol accused him of running Georgetown ""on the principles of a convent."" There were three student organized rebellions against the Georgetown administration in the antebellum period. The most notable of these occurred in January 1850, against the administration of James A. Ryder over the school food. Students damaged the dormitories and took charge of a local hotel.
The first student society, the Sodality of Our Lady, was founded in 1810 as a religious devotional group. A strict revision of school rules in 1829 forbade personal conversations or particular associations. Despite this the Philodemic Society was founded in 1830 as the school's debating and literary society, the oldest of its kind in America and the oldest secular group at Georgetown. Other debating societies were founded in its model, or in opposition to it in later years, such as the short lived Philisorian Society and the Philonomosian Society, which lasted from 1839 until 1935. The College Cadets were officially organized in 1836, becoming the oldest military unit native to the District of Columbia. The Dramatic Association of Georgetown College, renamed the Mask and Bauble Dramatic Society after World War I, was founded in 1852, and is itself the oldest surviving student dramatic society in America. The first Christmas tree was introduced to campus in December 1857.",75149,train-0-75149.png,75149
en,https://en.wikipedia.org/wiki/Cloture,https://upload.wikimedia.org/wikipedia/commons/f/f6/US_Senate_cloture_since_1917.png,Cloture,Procedure,Cloture / United States / Procedure,"Cloture voting in the United States Senate , 1917−2014.[43]","English: Number of cloture motions filed, voted on, and invoked by the U.S. Senate since 1917. Data from http://www.senate.gov/pagelayout/reference/cloture_motions/clotureCounts.htm See earlier graph: https://commons.wikimedia.org/wiki/File:Cloture_Voting,_United_States_Senate,_1947_to_2008.svg","Number of cloture motions filed, voted on, and invoked by the U.S. Senate, 1917−2014.",image/png,1946,2846,FALSE,TRUE,FALSE,"Cloture, closure or, informally, a guillotine, is a motion or process in parliamentary procedure aimed at bringing debate to a quick end. The cloture procedure originated in the French National Assembly, from which the name is taken. Clôture is French for ""the act of terminating something"". It was introduced into the Parliament of the United Kingdom by William Ewart Gladstone to overcome the obstructionism of the Irish Parliamentary Party and was made permanent in 1887. It was subsequently adopted by the United States Senate and other legislatures. The name cloture remains in the United States; in Commonwealth countries it is usually closure or, informally, guillotine; in the United Kingdom closure and guillotine are distinct motions.","The three-fifths version of the cloture rule does not apply to motions to end filibusters relating to Senate Rule changes. To invoke cloture to end debate over changing the Senate rules, the original version of the rule (two-thirds of those Senators ""present and voting"") still applies.
The procedure for ""invoking cloture"", or ending a filibuster, is as follows:
A minimum of 16 senators must sign a petition for cloture.
The petition may be presented by interrupting another Senator's speech.
The clerk reads the petition.
The cloture petition is ignored for one full day during which the Senate is sitting (called a ""Legislative Day""). For example, if the petition is filed on Monday, it is ignored until Wednesday; if the petition is filed on a Friday, it is ignored until Tuesday, assuming that the Senate did not sit on Saturday or Sunday.
On the second Legislative Day after the presentation of the petition, after the Senate has been sitting for one hour, a ""quorum call"" is undertaken to ensure a majority of the Senators are present. However, the mandatory quorum call is often waived by unanimous consent.
The Majority Leader presents the petition.
The Senate votes on the petition; three-fifths of the whole number of Senators (sixty if there are no vacancies) is the required majority; however, when cloture is invoked on a question of changing the rules of the Senate, two-thirds of the Senators voting (not necessarily two-thirds of all Senators) is the requisite majority. This is commonly referred to as a ""test vote"".
Cloture on a presidential nomination requires a simple majority of those present and voting. This was changed for all presidential appointments other than Supreme Court nominees in a 21 November 2013 Senate vote (the so-called ""nuclear option""), and was further extended to include Supreme Court nominees in an 6 April 2017 Senate vote.
After cloture has been invoked, the following restrictions apply:
No more than 30 additional hours of debate may occur on the bill in question (though this additional time is commonly shortened or vitiated altogether; in addition, since the nuclear option of April 2019, nominations to subcabinet executive branch, or district court, positions normally mandate only 2 additional hours).
No Senator may speak for more than one hour.
No amendments may be moved unless they were filed on the day between the presentation of the petition and the actual cloture vote.
All amendments must be relevant to the debate.
Certain procedural motions are not permissible. Senate Rule XXII provides that no dilatory motion or amendment is in order under cloture. While there is no exact list of what motions are dilatory, ""Motions to adjourn, postpone, recess, suspend the rules, and reconsider have been held to be dilatory. There also is precedent supporting the authority of the presiding officer to rule that a quorum call is dilatory under these circumstances.""
The presiding officer gains additional powers in controlling debate such as the power to count to determine whether a quorum is present and to rule amendments, motions, and other actions out of order on the grounds that they are dilatory.
No other matters may be considered until the question upon which cloture was invoked is resolved.",76637,train-0-76637.png,76637
en,https://en.wikipedia.org/wiki/Saqqaq,https://upload.wikimedia.org/wikipedia/commons/8/85/Saqqaq-population-dynamics.png,Saqqaq,Population,Saqqaq / Population,Saqqaq population growth dynamics in the last two decades. Source: Statistics Greenland[8],"Population growth dynamics in Saqqaq, Greenland. Numbers from 1991-2010 from Statistics Greenland. (http://bank2.stat.gl/) The graph is own work.",Saqqaq population dynamics,image/png,250,1000,FALSE,TRUE,TRUE,"Saqqaq is a settlement in the Avannaata municipality in western Greenland. Founded in 1755 as Solsiden, Saqqaq had 132 inhabitants in 2020. The village's Kalaallisut name is a translation of the Danish meaning ""Sunny Side"", in reference to its position relative to Livets Top.
It is the site name for the Saqqaq culture.","The population of Saqqaq has increased by 60 percent relative to the 1990 levels, stabilizing in the following decade. Saqqaq is one of the very few demographically stable settlements in the Disko Bay region.",89137,train-0-89137.png,89137
en,https://en.wikipedia.org/wiki/Great_Southern_Group,http://upload.wikimedia.org/wikipedia/commons/9/90/Great_Southern_Group_assets_1999-2008.jpg,Great Southern Group,Fall,Great Southern Group / Fall,"Great Southern Group's assets. Net assets were ultimately limited by the company's ""unsustainable levels"" of debt.[4]","English: Graph showing Great Southern Group total and net assets from shortly after listing as a public company, to last annual report","area graph with years on the x-axis, ranging from 1999 to 2008, and thousands of dollars on the y-axis. Two areas are shown: net assets climb until 2005 then stay at a similar level to 2008, below the 800 million dollar line; gross assets climb above net assets and are still increasing in 2008, where they are near the 1.8 billion dollar line",image/jpeg,319,394,FALSE,TRUE,FALSE,"Great Southern Group was a group of Australian companies that was notable as the country's largest agribusiness managed investment scheme business.
The company was founded in 1987 and became a public company in 1999. It expanded its MIS business rapidly in the 2000s, supported by favourable tax regulations for these types of investments. Most of the Group's business was in plantation forestry to supply woodchips for the pulp and paper industry, but in the 2000s it diversified into high-value timbers, beef cattle, olives, viticulture, and almond production. The company's after-tax profit peaked at A$132 million in 2006, but by 2008 had deteriorated to a A$63 million loss.
The Great Southern companies attracted debate and criticism associated with the operation of managed investment schemes generally, and the environmental performance of their Tiwi Islands operation in particular. On 16 May 2009, as a result of worsening economic conditions and regulatory issues, the GSL, GSMAL, GSF and other subsidiaries of GSL entered into voluntary administration. Ferrier Hodgson was assigned as liquidator of Great Southern Group.","In the mid-2000s, Great Southern's business was growing rapidly, with sales and market capitalisation increasing at more than 100 per cent per annum. However, in its 2005 Annual Report, the company disclosed that it was subsidising the returns to its 1994 forestry scheme by approximately A$3 million, and that it expected to have to similarly subsidise the 1995 and 1996 schemes by up to A$12 million in future years. Board chairman Peter Patrikeos and non-executive director Jeffry Mews both expressed concern about the way in which Great Southern was funding shortfalls on the sales of timber products, with the issue leading directly to Mews' resignation. Although the company continued to sell over A$800 million of MIS products in the two financial years after incurring losses on its early offerings, it was not meeting sales targets, and its share price was falling.
Underpinning Great Southern's decision to subsidise returns to its early investors was a looming problem: its forestry plantations were not performing to expectations. Timber yields were poorer than had been projected. Great Southern's baseline projection had been 250 tonnes of woodchips per hectare, but an assessment in 2003 suggested that in most plantations yield would be reduced: in some cases to less than half the planned figure. The company itself considered that yields were proving to be ""disappointing"", with actual yields for the woodlots planted in the period between 1994 and 1997 (and thus harvested by 2008) being between 120 and 200 tonnes per hectare. Plantation growth had been limited by drought conditions and issues with the site and seedling quality of early plantings.
The company's sales of MIS schemes, and its profits, both peaked in 2006, with over A$450 million in sales, and a net profit after tax of A$133 million. However, the 2006 harvest (of 1996 plantations) yielded a return of only A$1500 and $1750 for the woodlots that investors had bought for A$3000. These plantations had not been productive enough to yield a profit for investors, so Great Southern inflated the returns to A$4100 using its own funds.
In December 2007 Young announced he would step down as managing director, remaining as both non-executive director and major shareholder. Saying that he wanted someone younger to implement the company's five-year business plans, he handed over to Cameron Rhodes, one of Great Southern's existing senior management team.
In 2008, Great Southern had over 430 employees managing investment schemes on behalf of over 47 000 investors. Industry sectors in which investment occurred included beef cattle, forestry, wine grapes, almonds, and poultry production. Its plantation estate had grown to 179 000 hectares, the vast majority of which was for wood pulp production.
As MIS sales declined from their 2006 peak, the Group's debt levels rose. By October 2008, business analysts Austock Securities were describing the company as ""excessively geared"". The Group developed a proposal, known as Project Transform, to restructure the business, in particular through seeking the agreement of investors to swap their MIS investments for shares in Great Southern Limited. The intention was to free up capital to reduce debt, and make the business more attractive to investors. Analysts such as Austock Securities and Macquarie Research Equities supported the strategy.
The company reported a A$64 million loss in its 2008 financial year. By 2009, the global economic downturn, and regulatory uncertainty associated with MIS schemes, was putting the company under financial pressure, and it was seeking to improve its situation both through asset sales and refinancing of debt. Its debt levels had risen significantly: it had extended its debt financing with its banks from A$245 million to A$350 million in 2007. By September 2008 its total debt had ballooned to A$820 million, of which A$376 million was owed to its lead bankers, ANZ, Commonwealth Bank, BankWest and Mizuho. Great Southern had also been hoping to see a rise in the price obtained for its woodchips, but was unsuccessful ",105181,train-0-105181.jpg,105181
en,https://en.wikipedia.org/wiki/Breastfeeding_promotion,https://upload.wikimedia.org/wikipedia/commons/f/fe/Breastfeeding_in_Asia.png,Breastfeeding promotion,India,Breastfeeding promotion / Breastfeeding promotion projects by region / Asia / India,Early Initiation of Breastfeeding in some of the Asian countries. Source: 2018 Global Breastfeeding Scorecard,English: Early Initiation of breastfeeding in Asia. Source: 2018 Global Breastfeeding Scorecard https://www.indiaspend.com/6-in-10-indian-babies-miss-out-on-early-breastfeeding-and-its-life-saving-benefits-62614/,Early Initiation of Breastfeeding in some of the Asian countries. Source: 2018 Global Breastfeeding Scorecard https://www.indiaspend.com/6-in-10-indian-babies-miss-out-on-early-breastfeeding-and-its-life-saving-benefits-62614/,image/png,395,638,FALSE,TRUE,TRUE,"Breastfeeding promotion refers to coordinated activities and policies to promote health among women, newborns and infants through breastfeeding.
The World Health Organization recommends infants should be exclusively breastfed for the first six months of life to achieve optimal health and development, followed by complementary foods while continuing breastfeeding for up to two years or beyond. However, currently fewer than 40% of infants under six months of age are exclusively breastfed worldwide.
Public health awareness events such as World Breastfeeding Week, as well as training of health professionals and planning, aim to increase this number.","The Government of India initiated the nation-wide breastfeeding programme: MAA- Mother’s Absolute Affection, in August 2016. Initiation of breastfeeding within the first hour of birth and exclusive breastfeeding for at least six months are the two main goals of the MAA programme.",119573,train-0-119573.png,119573
